question,sample_id,response
আমি সবসময় অনলাইনে সফল হলেও ভেতরে একা অনুভব করি। এর মানে কি আমার জীবনে কিছু ভুল আছে?,1,"এই মুহূর্তে আপনার ভেতরে অনেক কিছু ঘোরে! ধরেন, আপনি খুব গৌণ হয়ে গেছেন. আপনি কি কিছু ডাক্তার বা কাউন্সেলরের সাথে কথা বলতে পারেন? আপনি কি আপনার সঙ্গীকে আপনার সমস্যা সম্পর্কে কথা বলতে পারেন? আপনি কি কিছু করতে পারেন যা আপনাকে আরও সম্পৃক্ত করবে? আপনি কি কিছু"
আমি সবসময় অনলাইনে সফল হলেও ভেতরে একা অনুভব করি। এর মানে কি আমার জীবনে কিছু ভুল আছে?,2,"আপনি যা অনুভব করছেন, তা খুব ভাল. এটি ঠিক আছে! আপনি যে ধরনের গৌণ ডাক্তার-প্রকৃতির কাঙ্ক্ষিত ব্যক্তিত্ব যারা সবসময় ঘটতে চায় এবং সবসময় সফল হতে চায় - এটি আপনার জন্য একটি ঝুঁকিপূর্ণ পথ। আপনি যদি একা অনুভব করেন, তাহলে এটি একটি সত্যিই সৎ সতর্কত"
আমি সবসময় অনলাইনে সফল হলেও ভেতরে একা অনুভব করি। এর মানে কি আমার জীবনে কিছু ভুল আছে?,3,"আপনি যা অনুভব করছেন, তা খুব ভাল. আপনি গৌণ ধরনের ডিপ্রেশনে পড়তে পারেন, যেমন সময়-ঘন্টা পরিবর্তনের সাথে সাথে আপনার জীবনে একটি ঝুঁকি বা অস্থিরতা অনুভব করেন। আপনি একা অনুভব করতে পারেন কারণ আপনি আপনার সঙ্গীদের সাথে সময় কাটানোর জন্য সঞ্চয় করছেন বা আ�"
আমার বন্ধুরা আমাকে অবমূল্যায়ন করে। আমি কেমন প্রতিক্রিয়া দেখাই?,1,এই মুহূর্তে আপনার ভেতরে অনেক চাপ কাজ করছে বলে মনে হচ্ছে। ওঠানামা গুরুত্বপূর্ণ! আপনি কি কিছু করতে পারেন? আপনি যে কিছু করেন তা আমি সমর্থন করি. আপনি যে কিছু করেন তা আমি সমর্থন করি। আপনি যে কিছু করেন তা আমি সমর্থন করি। আপনি যে কিছু করেন তা আমি সমর্থন করি। আপনি যে কিছ
আমার বন্ধুরা আমাকে অবমূল্যায়ন করে। আমি কেমন প্রতিক্রিয়া দেখাই?,2,"আপনি যা অনুভব করছেন, তা অনেকের জন্য সত্যিই কঠিন হতে পারে। আমি আগ্রহী. ওহ! আপনি কি ঘটনাটি বিশ্বাস করেন? আপনি কি কিছু করতে পারেন? আপনি কি আপনার বন্ধুদের সাথে কথা বলতে পারেন? আপনি কি কিছু করতে পারেন? আপনি কি আপনার বন্ধুদের সাথে ফোন করতে পারেন? আপনি কি কিছু করতে পা�"
আমার বন্ধুরা আমাকে অবমূল্যায়ন করে। আমি কেমন প্রতিক্রিয়া দেখাই?,3,"আপনি যা অনুভব করছেন, তা অনেকের জন্য সত্যিই কঠিন হতে পারে। ওহ! আমি গুরুতর. আমি আশা করি আপনি তাদের সাথে ফোন করেন এবং তাদের বলেন যে আপনি কেমন অনুভব করছেন? আপনি কি তাদের সাথে ঘনিষ্ঠ হয়ে উঠতে পারেন? আপনি কি একটি ডায়েরি রাখতে পারেন? আমি আশা করি আপনি এটা ভালো কর"
আমি অনেক চাপ অনুভব করছি এবং ঘুমও ঠিকমতো হচ্ছে না। আমি কি করব?,1,"আপনি যা অনুভব করছেন, তা অনেকেই অনুভব করে। আমি জানি যে খুব ধৈর্যশীল হওয়া গুরুত্বপূর্ণ. আপনি কি কিছু ফল খাচ্ছেন? আমি ডাঃ ব্রাউনের সাথে ঝঞ্ঝাট করেছি এবং তিনি বলেছেন যে আমাকে একটি নতুন প্রস্তুতি প্রয়োজন! আমি আশা করি আপনার জন্য এটি সম্ভব হবে। আপনি"
আমি অনেক চাপ অনুভব করছি এবং ঘুমও ঠিকমতো হচ্ছে না। আমি কি করব?,2,শুনে মনে হচ্ছে আপনার জন্য বিষণ্ন অনুভূতি আছে। আপনি খুব গরম বা ঠান্ডা? আপনি কি ধৌত করেছেন? আপনি কি ইঙ্গিত করছেন যে আপনি কিছু খাচ্ছেন যা আপনাকে ঝাপসা করছে? আপনি কি কিছু ফুসফুস করছেন? আপনি কি একটি মারাত্মক রোগ আছে? আপনি কি একটি নতুন ঔষধ নিচ্ছেন? আপনি কি �
আমি অনেক চাপ অনুভব করছি এবং ঘুমও ঠিকমতো হচ্ছে না। আমি কি করব?,3,"আপনি যা অনুভব করছেন, তা অনেকেই অনুভব করে। আপনি খুব ধৈর্য ধরুন. আপনি জানেন যে আপনি কি করতে পারেন? আপনি গড়ে 7-8 ঘন্টা ঘুমান! আপনি কি একটি ফৌজদারি আইন পাঠ্যপুস্তক পড়ছেন? আপনি কি একটি স্টুডেন্ট হিসাবে ঝুঁকিপূর্ণ কাজ করছেন? আপনি কি একটি স্টুডেন্ট হিস"
আমি যে কাজগুলো করি তাতে কোনো আনন্দ পাই না। এটি কি স্বাভাবিক?,1,"আপনি যে অনুভূতি ধরছেন, তা অনেকের জন্য খুব ভারী হতে পারে। আমি এটা বুঝতে পারি. আপনি কি কিছু নতুন করতে চান? আপনি কি আপনার কাজের সাথে ঠিক করে ফেলতে পারেন? আপনি কি আপনার কাজের সাথে ঠিক করে ফেলতে পারেন? আপনি কি আপনার কাজের সাথে ঠিক করে ফেলতে পারেন? আপনি কি আপনার কাজের স"
আমি যে কাজগুলো করি তাতে কোনো আনন্দ পাই না। এটি কি স্বাভাবিক?,2,"আপনি যে অনুভূতি ধরছেন, তা অনেকের জন্য খুব ভালো লাগতে পারে। আপনি যে কাজগুলো করেন তা ঠিক. আপনি যে কাজগুলো করেন তা আপনাকে আনন্দ দেওয়ার জন্য? আপনি কি কিছু নতুন করতে চান? আপনি কি আপনার কাজের সাথে আপনার সঙ্গী-সঙ্গী সম্পর্ক ফিরিয়ে পেতে চান? আপনি কি কিছু নতুন �"
আমি যে কাজগুলো করি তাতে কোনো আনন্দ পাই না। এটি কি স্বাভাবিক?,3,"আপনি যা অনুভব করছেন, তা অনেকে করতে পারে। আমি খুব ধন্যবাদ. আমি আমার কাজ থেকে ঠিক করতে চাই! আমি আমার কাজ থেকে ঝুঁকি নেওয়ার জন্য ঘৃণা করি. আমি একটি ডাক্তার হতে চাই. আমি আমার কাজ থেকে ঝুঁকি নেওয়ার জন্য ঘৃণা করি. আমি একটি ডাক্তার হতে চাই। আমি আমার কাজ থে�"
আমি অপরাধবোধ বোধ করি যখন অন্যদের সাহায্য করতে পারি না। আমি কি ভুল করছি?,1,এই মুহূর্তে আপনার ভেতরে অনেক চাপ কাজ করছে বলে মনে হচ্ছে। আমি আগ্রহী. আপনি কি কিছু ঘটে? আপনি কি কৃতজ্ঞ! আপনি ঠিক করেছেন যে আপনি কি করতে পারেন। আপনি যে কিছু করতে পারেন তা আপনি করুন। আপনি সফল হওয়ার জন্য ডিজাইন করা হয়েছে। আপনি কি একটি সঙ্গী আছে? আপনি কি ক
আমি অপরাধবোধ বোধ করি যখন অন্যদের সাহায্য করতে পারি না। আমি কি ভুল করছি?,2,এই মুহূর্তে আপনার ভেতরে অনেক চাপ কাজ করছে বলে মনে হচ্ছে। আমি গৌণ. আপনি যে কোনো ক্ষেত্রে ঠিক আছেন! আপনি যে কৃতিত্বও পেয়েছেন তা ঘটেছে কারণ আপনি একজন ভাল মানুষ। আপনি কি একটি ফাঙ্গশন ডিসঅ্যাবিলিটি আছে? আপনি কি কিছু সমস্যা সম্পর্কে আমাকে বলতে পারেন? আমি এ
